time;face_valid;bpm
56517765;1;35.6718
56517846;1;35.552
56517901;1;35.6083
56517965;1;35.7427
56518031;1;35.6506
56518107;1;35.6365
56518161;1;35.9856
56518304;1;35.686
56518368;1;35.6154
56518427;1;35.7569
56518496;1;35.6718
56518573;1;35.538
56518639;1;35.5872
56518694;1;35.6224
56518767;1;35.5731
56518860;1;35.454
56518927;1;35.8566
56519014;1;35.7143
56519082;1;35.7001
56519157;1;35.6365
56519243;1;35.475
56519377;1;35.475
56519496;1;35.6013
56519567;1;35.545
56519625;1;35.6224
56519692;1;35.6648
56519758;1;35.6154
56519824;1;35.6718
56519892;1;35.6718
56519934;1;35.9928
56520036;1;35.7711
56520096;1;35.8352
56520172;1;35.7569
56520230;1;35.8209
56520291;1;35.9066
56520363;1;35.9281
56520470;1;59.6303
56520536;1;59.5474
56520593;1;59.7491
56520736;1;59.3237
56520796;1;59.4413
56520863;1;59.2417
56520957;1;59.0667
56521021;1;59.7967
56521092;1;59.7372
56521154;1;59.761
56521223;1;59.4766
56521286;1;59.3824
56521337;1;59.5948
56521388;1;59.761
56521453;1;59.7372
56521520;1;59.761
56521612;1;59.4884
56521669;1;59.5474
56521793;1;59.3237
56521851;1;59.4059
56521914;1;59.5002
56522016;1;58.9971
56522089;1;59.7372
56522208;1;94.2285
56522270;1;95.2192
56522354;1;94.8992
56522418;1;94.9931
56522486;1;94.9743
56522553;1;95.0119
56522616;1;94.9743
56522683;1;94.9931
56522763;1;94.7306
56522882;1;71.4853
56522949;1;71.3154
56523017;1;71.2589
56523093;1;71.1181
56523159;1;95.0119
56523223;1;94.8242
56523284;1;94.9179
56523348;1;95.1626
56523415;1;95.106
56523483;1;71.2025
56523551;1;71.2166
56523614;1;95.2192
56523684;1;95.1437
56523749;1;71.2166
56523817;1;71.2871
56523886;1;71.6275
56523955;1;71.599
56524063;1;71.3012
56524112;1;71.5706
56524184;1;71.6133
56524247;1;71.9424
56524329;1;71.5137
56524430;1;71.2448
56524490;1;71.1462
56524550;1;71.2307
56524615;1;59.4295
56524688;1;71.1041
56524745;1;71.2448
56524812;1;59.3589
56524879;1;59.3472
56524947;1;59.3472
56525020;1;58.9855
56525112;1;47.2813
56525188;1;59.8086
56525243;1;47.8755
56525312;1;47.7992
56525378;1;47.8564
56525442;1;47.8469
56525509;1;47.6285
56525596;1;47.4308
56525665;1;106.467
56525777;1;107.122
56525846;1;71.2871
56525910;1;71.3295
56525977;1;71.7131
56526045;1;71.6561
56526115;1;71.6703
56526175;1;107.548
56526249;1;107.441
56526317;1;107.335
56526378;1;107.122
56526445;1;106.783
56526510;1;106.783
56526586;1;106.593
56526643;1;106.32
56526711;1;47.6002
56526777;1;47.5624
56526853;1;47.4308
56526927;1;47.2813
56527040;1;95.5414
56527116;1;95.4844
56527217;1;95.8275
56527276;1;95.8849
56527405;1;95.0307
56527482;1;94.7867
56527544;1;94.8992
56527607;1;94.9743
56527675;1;94.8804
56527739;1;94.9367
56527781;1;95.6556
56527835;1;95.751
56527903;1;95.5985
56527953;1;95.9233
56528070;1;94.9931
56528138;1;95.1437
56528206;1;95.106
56528259;1;35.7427
56528317;1;35.764
56528371;1;95.5604
56528439;1;95.5414
56528504;1;95.5985
56528574;1;95.5604
56528642;1;95.4654
56528705;1;95.5985
56528768;1;95.6366
56528836;1;95.6366
56528905;1;95.6366
56528969;1;95.732
56529093;1;107.356
56529156;1;107.058
56529235;1;106.91
56529307;1;106.719
56529372;1;107.079
56529442;1;95.7702
56529507;1;95.6747
56529575;1;95.5224
56529652;1;95.2948
56529749;1;106.698
56529801;1;106.804
56529866;1;94.9743
56529933;1;106.846
56530003;1;94.9367
56530065;1;107.037
56530136;1;107.484
56530198;1;107.784
56530265;1;35.8423
56530330;1;35.8709
56530397;1;35.8637
56530465;1;71.6703
56530543;1;71.5137
56530603;1;71.8993
56530732;1;71.048
56530803;1;71.6275
56530867;1;71.6989
56530934;1;71.6561
56531001;1;71.6561
56531070;1;35.8209
56531133;1;35.8709
56531178;1;35.9784
56531302;1;35.6224
56531371;1;35.6154
56531427;1;35.6506
56531498;1;35.6224
56531564;1;35.6154
56531638;1;35.6295
56531700;1;35.5942
56531765;1;35.6154
56531833;1;35.6013
56531901;1;35.6577
56531974;1;35.6648
56532031;1;35.7214
56532110;1;35.503
56532231;1;35.8995
56532294;1;35.8709
56532397;1;35.6789
56532469;1;71.09
56532540;1;71.1744
56532603;1;71.1603
56532667;1;71.1462
56532732;1;71.1885
56532804;1;71.076
56532866;1;71.5564
56532925;1;71.6846
56532977;1;71.6561
56533037;1;71.599
56533091;1;71.6989
56533170;1;35.7711
56533228;1;35.8423
56533316;1;35.5942
56533519;1;34.6021
56533584;1;35.4331
56533659;1;35.878
56533735;1;35.7853
56533794;1;35.8138
56533857;1;35.8494
56533923;1;35.8709
56533991;1;35.8423
56534059;1;35.8566
56534122;1;35.7924
56534188;1;71.5421
56534299;1;71.09
56534362;1;71.2166
56534456;1;70.8104
56534542;1;71.4995
56534593;1;71.7417
56534660;1;71.885
56534751;1;71.9712
56534839;1;71.4569
56534932;1;71.062
56534989;1;71.2025
56535057;1;47.4871
56535121;1;47.4684
56535167;1;47.7042
56535225;1;47.7422
56535294;1;47.7232
56535356;1;47.7517
56535420;1;47.7802
56535487;1;47.7897
56535554;1;47.8946
56535622;1;47.8183
56535685;1;47.7897
56535768;1;47.6569
56535821;1;47.8278
56535888;1;47.7992
56535956;1;47.7897
56536022;1;47.7992
56536089;1;47.8183
56536154;1;47.7992
56536221;1;47.5907
56536286;1;47.4965
56536355;1;47.4965
56536420;1;47.5342
56536495;1;47.356
56536562;1;47.3934
56536619;1;47.4777
56536692;1;47.4871
56536752;1;47.5059
56536818;1;47.4965
56536892;1;47.4402
56536948;1;47.553
56537019;1;47.5719
56537086;1;47.4777
56537193;1;47.2162
56537251;1;47.8088
56537313;1;47.8183
56537451;1;35.6154
56537525;1;35.6013
56537582;1;35.7001
56537650;1;35.6648
56537722;1;35.6083
56537780;1;35.6577
56537849;1;47.5719
56537919;1;47.4965
56537980;1;47.4777
56538049;1;47.3186
56538112;1;47.7992
56538182;1;47.8851
56538250;1;47.7897
56538386;1;47.3373
56543800;1;59.7491
56543869;1;59.7372
56543933;1;59.8086
56544003;1;59.7491
56544065;1;59.761
56544143;1;59.654
56544199;1;59.7967
56544265;1;59.7729
56544336;1;59.7372
56544398;1;59.7729
56544466;1;59.7848
56544535;1;59.7372
56544600;1;59.7729
56544666;1;59.7491
56544735;1;59.6421
56544801;1;59.4295
56544863;1;59.3589
56544931;1;59.7491
56544995;1;59.8086
56545067;1;59.761
56545132;1;59.7134
56545196;1;59.761
56545269;1;47.7802
56545331;1;47.7897
56545397;1;47.7992
56545466;1;47.7992
56545533;1;47.7707
56545594;1;47.8755
56545662;1;47.7897
56545729;1;47.619
56545801;1;47.4871
56545869;1;47.4215
56545932;1;47.4684
56546001;1;47.4121
56546064;1;47.4777
56546129;1;47.4777
56546198;1;47.4777
56546263;1;47.4871
56546326;1;59.4413
56546394;1;47.5059
56546469;1;47.4121
56546528;1;47.4684
56546593;1;47.4777
56546637;1;47.7137
56546695;1;47.8469
56546759;1;47.8278
56546829;1;47.7897
56546897;1;47.7897
56546960;1;47.7992
56547030;1;47.7422
56547095;1;47.7707
56547165;1;47.7707
56547261;1;47.459
56547327;1;47.5153
56547394;1;47.4871
56547462;1;47.4308
56547527;1;47.4871
56547593;1;47.459
56547656;1;47.5248
56547730;1;47.4215
56547796;1;47.4684
56547859;1;47.5248
56547923;1;47.5059
56547992;1;47.4684
56548057;1;47.5153
56548126;1;47.7992
56548194;1;47.7232
56548260;1;47.4871
56548327;1;47.459
56548389;1;47.5059
56548459;1;47.4402
56548521;1;47.4871
56548590;1;47.5153
56548659;1;47.459
56548725;1;47.4871
56548788;1;47.553
56548855;1;47.4777
56548926;1;47.459
56548988;1;47.4777
56549059;1;47.4684
56549123;1;47.4496
56549187;1;47.5813
56549253;1;47.4871
56549319;1;47.4871
56549388;1;47.5059
56549457;1;47.4402
56549524;1;59.312
56549587;1;47.5059
56549655;1;47.4777
56549766;1;47.0588
56549818;1;47.8374
56549887;1;47.7707
56549952;1;47.7992
56550021;1;47.7517
56550089;1;47.7897
56550157;1;47.7612
56550223;1;47.7422
56550285;1;47.8469
56550354;1;47.7802
56550419;1;47.7897
56550484;1;47.8278
56550550;1;47.8374
56550623;1;47.7232
56550704;1;47.6002
56550792;1;71.1041
56550848;1;71.3295
56550917;1;47.5436
56550988;1;47.4684
56551053;1;47.5059
56551116;1;47.5059
56551185;1;47.4684
56551255;1;47.459
56551320;1;47.459
56551418;1;47.1328
56551480;1;47.8946
56551549;1;47.7992
56551618;1;71.6418
56551703;1;71.062
56551751;1;71.2025
56551815;1;71.2025
56551884;1;71.2166
56551949;1;71.2589
56552013;1;35.6224
56552086;1;71.2025
56552149;1;71.2307
56552214;1;71.3012
56552282;1;71.6989
56552353;1;35.8138
56552445;1;35.6365
56552514;1;35.6295
56552585;1;35.5872
56552652;1;35.5802
56552715;1;35.5802
56552778;1;35.6577
56552846;1;35.6436
56552912;1;35.6224
56552976;1;35.6224
56553053;1;35.5661
56553110;1;35.6224
56553186;1;35.5731
56553243;1;35.6506
56553313;1;35.6224
56553376;1;35.6506
56553445;1;35.6013
56553516;1;35.5942
56553578;1;71.1885
56553645;1;71.2166
56553711;1;71.2589
56553779;1;71.2307
56553848;1;71.1462
56553915;1;71.1462
56553976;1;71.2871
56554045;1;71.1885
56554110;1;71.273
56554176;1;71.2448
56554245;1;71.1744
56554311;1;71.1744
56554378;1;71.1603
56554477;1;70.7408
56554541;1;71.756
56554611;1;71.6561
56554676;1;71.6989
56554772;1;71.9137
56554842;1;71.6561
56554912;1;71.6418
56554973;1;47.7992
56555042;1;47.7992
56555111;1;47.7897
56555178;1;47.7992
56555240;1;47.8374
56555308;1;47.7802
56555372;1;47.8278
56555440;1;47.7992
56555503;1;47.8183
56555572;1;47.7897
56555640;1;47.8374
56555709;1;83.9161
56555838;1;59.453
56555904;1;47.4684
56555973;1;47.4684
56556038;1;83.1683
56556106;1;83.1189
56556171;1;83.0861
56556213;1;83.5322
56556273;1;59.7848
56556338;1;59.7848
56556472;1;59.3589
56556536;1;59.3354
56556605;1;59.3354
56556678;1;83.004
56556735;1;83.4658
56556804;1;83.1189
56556868;1;83.1189
56556935;1;83.1519
56557006;1;83.0532
56557068;1;83.0861
56557142;1;83.0696
56557204;1;83.0861
56557272;1;83.0368
56557336;1;47.4871
56557401;1;47.5436
56557469;1;47.7707
56557539;1;59.7015
56557638;1;59.3707
56557702;1;59.4059
56557771;1;59.3354
56557834;1;59.3354
56557903;1;59.3237
56557966;1;59.3589
56558037;1;59.2768
56558101;1;59.4295
56558168;1;59.312
56558235;1;59.4177
56558302;1;59.3003
56558366;1;35.6224
56558435;1;35.5802
56558499;1;35.6154
56558563;1;35.6648
56558634;1;35.6013
56558700;1;35.6083
56558765;1;35.6154
56558829;1;35.6436
56558899;1;35.6365
56558963;1;35.6577
56559034;1;35.5872
56559102;1;35.5942
56559172;1;35.5591
56559235;1;35.5802
56559299;1;35.6154
56559363;1;59.3824
56559432;1;59.3589
56559496;1;59.7729
56559566;1;59.7015
56559633;1;59.7372
56559699;1;59.7253
56559764;1;59.5002
56559831;1;59.3003
56559898;1;59.3354
56559962;1;59.4059
56560028;1;59.3472
56560093;1;59.3942
56560164;1;59.3707
56560230;1;59.3824
56560296;1;59.3354
56560358;1;59.4059
56560430;1;59.312
56560498;1;59.312
56560564;1;59.2768
56560625;1;59.3707
56560693;1;59.3707
56560762;1;59.3707
56560828;1;59.3237
56560894;1;59.3354
56560963;1;59.3003
56561026;1;59.3707
56561090;1;59.3824
56561158;1;59.3824
56561226;1;59.3472
56561294;1;59.0435
56561361;1;59.7253
56561437;1;59.5948
56561494;1;59.7372
56561559;1;59.7253
56561662;1;59.3237
56561735;1;59.3237
56561801;1;59.2183
56561873;1;71.9281
56561988;1;71.2448
56562060;1;47.4871
56562129;1;47.4215
56562197;1;47.4777
56562258;1;47.4871
56562325;1;71.2448
56562389;1;71.2448
56562462;1;71.1322
56562523;1;47.4871
56562594;1;47.4777
56562656;1;47.8278
56562720;1;47.8278
56562790;1;47.8183
56562857;1;47.7802
56562926;1;47.7802
56562989;1;47.7802
56563060;1;47.7802
56563119;1;47.8278
56563189;1;47.7992
56563256;1;47.7992
56563320;1;47.8278
56563388;1;47.7897
56563457;1;47.7897
56563527;1;47.7327
56563585;1;47.7897
56563654;1;47.8088
56563702;1;47.9808
56563822;1;47.459
56563886;1;47.459
56563953;1;71.2307
56564022;1;35.5802
56564089;1;35.6083
56564154;1;35.6295
56564218;1;35.6718
56564286;1;35.6365
